numero_celular;data_captura;tipo_cupom;tipo_loja;local_captura;latitude;longitude;nome_loja;endereco_loja;valor_compra;valor_cupom
(41) 96047-8110;05/07/2025;Produto;outros;Calçada aleatória;-23.563.850.985.754.000;-4.665.004.147.929.030;Pão de Açúcar;Rua Pamplona, 1704;834,43;28,21
(11) 94020-8306;12/07/2025;Desconto;móveis;Calçada aleatória;-2.356.380.569.343.850;-4.664.954.309.104.300;Pão de Açúcar;Rua Pamplona, 1704;884,21;398,81
(11) 92863-4530;19/07/2025;Produto;móveis;Shopping Cidade São Paulo;-23.563.227.246.012.400;-4.665.237.324.108.700;Kalunga;Rua Augusta, 2220;903,79;48,43
(11) 94282-1224;19/07/2025;Produto;vestuário;Semáforo;-2.356.152.623.615.530;-4.665.376.976.958.120;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;792,39;10,82
(11) 91506-1278;05/07/2025;Produto;outros;Shopping Pátio Paulista;-2.357.068.984.231.570;-46.645.488.231.986.900;Smart Fit;Av. Paulista, 2006;146,92;8,34
(11) 98991-7698;11/07/2025;Produto;outros;Semáforo;-23.562.139.025.307.800;-46.654.139.718.926.000;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;920,12;38
(11) 93034-3780;26/07/2025;Cashback;outros;Shopping Cidade São Paulo;-2.356.308.441.131.850;-466.528.769.840.734;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;534,74;26,74
(11) 91841-7725;06/07/2025;Cashback;restaurante;Calçada aleatória;-23.564.517.475.349.700;-4.665.016.868.625.870;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;534,23;26,71
(11) 91302-3943;20/07/2025;Desconto;móveis;MASP;-23.561.717.849.336.000;-4.665.578.672.580.020;Drogaria São Paulo;Av. Paulista, 1230;581,38;259,78
(11) 95801-7264;27/07/2025;Produto;vestuário;Semáforo;-23.562.272.407.222.600;-466.544.236.911.104;Kalunga;Rua Augusta, 2220;322,49;15,15
(11) 96646-8529;26/07/2025;Produto;mercado express;Calçada aleatória;-23.563.560.305.369.300;-4.665.006.773.289.010;Havaianas;Av. Paulista, 2439;809,54;45,73
(11) 97656-1721;05/07/2025;Produto;mercado express;Parque Trianon;-23.563.991.741.538.500;-4.665.742.642.445.580;Smart Fit;Av. Paulista, 2006;113,63;5,54
(11) 94435-1274;20/07/2025;Desconto;restaurante;Estação Consolação;-23.555.934.314.817.300;-46.661.584.723.223.000;Subway;Av. Paulista, 2026;379,96;154,67
(11) 96537-1121;05/07/2025;Cashback;farmácia;Estação Consolação;-23.556.116.298.073.200;-4.666.150.529.059.440;Lojas Americanas;Av. Paulista, 2300;774,37;38,72
