celular;data_nascimento;idade;sexo;cidade_residencial;bairro_residencial;cidade_trabalho;bairro_trabalho;cidade_escola;bairro_escola;categoria_frequentada
(11) 91409-5506;12/10/1969;55;Masculino;São Paulo;Sé;;;;;Farmácias e Drogarias
(11) 91520-1488;19/02/1981;44;Masculino;São Paulo;Ipiranga;;;;;Postos de Combustível e Serviços Automotivos
(11) 98359-5557;10/09/1979;45;Masculino;São Paulo;Santana;;;;;Restaurantes e Gastronomia
(11) 96514-2674;05/03/1957;68;Masculino;São Paulo;Penha;;;;;Farmácias e Drogarias
(11) 99785-3045;30/10/1969;55;Feminino;São Paulo;Tatuapé;;;;;Clínicas de Saúde e Bem-estar
(11) 92139-1750;20/05/1981;44;Outro;São Paulo;Tatuapé;;;;;Farmácias e Drogarias
(11) 98428-6977;09/06/1954;71;Masculino;São Paulo;Tucuruvi;;;;;Supermercados de Bairro e Mercadinhos
(11) 93803-9751;12/11/1998;26;Outro;São Paulo;Jabaquara;São Paulo;Lapa;;;Lanchonetes e Fast-Food
(11) 91525-6168;10/07/2009;16;Feminino;São Paulo;Tucuruvi;;;;;Academias e Studios Fitness
(11) 99179-7482;27/08/1938;86;Outro;São Paulo;Limão;São Paulo;Casa Verde;;;Restaurantes com comida caseira
(11) 97543-6930;24/02/1994;31;Masculino;Jesus das Flores;Higienópolis;São Paulo;Bela Vista;;;Restaurantes e Gastronomia
(11) 97916-2040;31/01/2001;24;Feminino;São Paulo;Jabaquara;São Paulo;Pinheiros;;;Cafeterias e Bistrôs Modernos
(11) 99797-5371;13/07/2005;20;Outro;São Paulo;Tatuapé;São Paulo;República;;;Lojas de Roupas e Sneakers
(11) 92743-5889;30/10/1988;36;Outro;São Paulo;Tucuruvi;São Paulo;Santana;;;Lojas de Roupas e Calçados
(11) 96947-6038;17/07/1954;71;Masculino;São Paulo;Lapa;;;São Paulo;Bela Vista;Produtos Naturais e Fitoterápicos
(11) 93103-8787;22/09/1952;72;Outro;São Paulo;Ipiranga;;;;;Bancos e Casas Lotéricas
(31) 96107-7537;22/11/1975;49;Outro;São Paulo;Jabaquara;;;;;Bancos, Agências e Correspondentes
(11) 96539-1344;03/08/1937;88;Outro;São Paulo;Lapa;São Paulo;Bela Vista;São Paulo;Campo Limpo;Supermercados de Bairro e Mercadinhos
(11) 95562-8953;16/03/1958;67;Masculino;São Paulo;Lapa;São Paulo;Sé;;;Bancos e Casas Lotéricas
(11) 98062-6804;21/04/1976;49;Feminino;São Paulo;Consolação;;;;;Farmácias e Drogarias
(11) 96559-2790;29/07/1989;36;Masculino;São Paulo;Pinheiros;São Paulo;República;;;Farmácias e Drogarias
(11) 92604-1828;02/07/2007;18;Outro;Teixeira;Bela Vista;;;;;Lojas de Eletrônicos e Games
(11) 98956-8886;13/07/1991;34;Masculino;São Paulo;Consolação;São Paulo;Sé;São Paulo;Limão;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 98973-3536;24/01/1971;54;Masculino;São Paulo;Consolação;São Paulo;República;São Paulo;Higienópolis;Postos de Combustível e Serviços Automotivos
(11) 99320-2312;25/09/1937;87;Masculino;São Paulo;República;;;São Paulo;Higienópolis;Bancos e Casas Lotéricas
(11) 91651-2343;22/12/1961;63;Feminino;São Paulo;Lapa;São Paulo;Jabaquara;;;Calçados Confortáveis e Ortopédicos
(11) 97484-3144;30/04/2004;21;Outro;São Paulo;Jabaquara;São Paulo;Santana;São Paulo;Santana;Cafeterias e Bistrôs Modernos
(11) 99288-5345;17/07/1943;82;Masculino;Mendes;República;;;;;Clínicas Médicas e Laboratórios
(11) 99900-5956;22/08/1958;66;Outro;Barros de Mendes;Perdizes;São Paulo;Casa Verde;;;Supermercados de Bairro e Mercadinhos
(31) 95333-2891;18/09/1994;30;Masculino;São Paulo;Higienópolis;São Paulo;Casa Verde;São Paulo;Casa Verde;Lojas de Moda Urbana e Alternativa
(11) 91832-2512;27/06/1983;42;Outro;São Paulo;Limão;São Paulo;Consolação;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 98239-8007;25/11/1948;76;Outro;São Paulo;República;;;;;Clínicas Médicas e Laboratórios
(11) 97049-3426;29/09/1964;60;Feminino;São Paulo;Tatuapé;São Paulo;Santo Amaro;;;Bancos e Casas Lotéricas
(11) 92684-6794;17/07/1939;86;Outro;São Paulo;Santo Amaro;;;;;Bancos e Casas Lotéricas
(11) 93900-7755;23/02/1961;64;Masculino;São Paulo;Itaquera;;;;;Bancos e Casas Lotéricas
(11) 92771-7267;10/04/1961;64;Masculino;São Paulo;Casa Verde;São Paulo;Campo Limpo;;;Bancos e Casas Lotéricas
(11) 94164-7528;18/01/1936;89;Feminino;São Paulo;República;;;São Paulo;Limão;Produtos Naturais e Fitoterápicos
(11) 91452-2889;15/03/1948;77;Feminino;São Paulo;Limão;São Paulo;República;;;Calçados Confortáveis e Ortopédicos
(11) 99379-2894;19/12/1975;49;Feminino;São Paulo;Tucuruvi;São Paulo;Santana;;;Postos de Combustível e Serviços Automotivos
(11) 94228-6967;02/01/1977;48;Feminino;São Paulo;Itaquera;;;;;Farmácias e Drogarias
(11) 95920-9308;17/07/1983;42;Feminino;São Paulo;Itaquera;São Paulo;Consolação;São Paulo;Limão;Restaurantes e Gastronomia
(11) 95930-7653;02/08/1969;56;Outro;São Paulo;Tatuapé;São Paulo;Higienópolis;;;Clínicas de Saúde e Bem-estar
(11) 98244-4501;15/08/2006;18;Outro;São Paulo;Santana;;;São Paulo;Casa Verde;Cafeterias e Bistrôs Modernos
(11) 94848-6085;23/09/1958;66;Masculino;São Paulo;Higienópolis;São Paulo;Sé;;;Supermercados de Bairro e Mercadinhos
